Küsimus	Vastus A)	Vastus B)	Vastus C)	Õige vastus
Kas hobimesinik peab mett müües kasutama toote etiketti mis vastab toiduseaduse mee märgistamise nõuetele?	nõu kehtib mesilatele kus on 15+ mesilaspere	jah, peab küll		b
Mille tõttu kärjed vananevad?	vaha muutub ajapikku rabedaks	haudmetegevuse tõttu	suira jääkide tõttu	b
Kas vanade ja väga tumedate kärgede kasutamine mõjutab ka uue haudme kvaliteeti?	ei mõjuta, küsimus on lihtsalt sanitaarsues	jah mõjutab, sest haudmekannude maht väheneb kogunenud vaklade väljaheidete ning vaklade ja nukkude kestade tõttu		b
Mida rohkem koorunud põlvkondi ühel haudmekärjel on olnud, seda . . . on kärje värvus.	tumedam	heledam		a
Mida teha kärgedega kus on palju lesekanne, hiirte või kärjekoi poolt kahjustusi või sisaldab hallitunud suira?	kasutada kompostiks	taaskäidelda st. sulatada puhtaks vahaks		b
Kuidas nimetatakse veest ja suhkrust valmistatud mesilaste talvesööta?	suhkrulahu	suhkrusiirup		a
Mis on invertsiirupi eelised suhkrulahu ees?	hind	lihtne kasutada, mitmeküllasem toiteväärtus, ei rikne ega põhjusta vargustungi	lihtne valmistada	b
Millal on peamine aeg kus mesindusest lugupidav mesinik kindlasti tegeleb varroalesta tõrjega?	kevadel kui algab haudmetegevus	suvel peakorje ajal kui mesilasperes on hauet vähem	sügisel peale mesilasperede koondamist	c
Ööpäevas taru põhjale kukkunud 1 lest tähendab umbes..	10 lesta mesilasperes	30-50 lesta mesilasperes	130-150 lesta mesilasperes	c
Sa ei jõudnud langenud lesta loendada, kas peaksid siiski mesilasperele lestatõrjet tegema?	jah, sest lestavabasid mesilasperesid ei ole	kuna ma lesta ise ei näinud, siis ei pea		a
Miks on orgaanilised happed nagu oblik- ja sipelghape hea valik lesta tõrjumiseks?	mesinikul on neid lihtne ja ohutu käsitleda	need happed esinevad ka mee koostises ja ei jäta mesindussaadustesse kahjulikke jääkaineid		b
Kas oblikhappe aur mõjub haudmekaanetise all olevatele varroalestadele?	jah	ei		b
Mis on optimaalne välistemperatuur, mille juures hakkab mesilaste lennutegevus sügisel lõppema?	10-15c	alla 10c	alates 0c	b
Kuhu moodustub mesilaste talvekobar?	pesaruumi raamide peale, liikudes suunaga alla	pesaruumi raamide alla keskele, liikudes suunaga üles	pesaruumi raamide alla keskele, liikudes külgedelt üle teiste raamide edasi-tagasi suunaga üles	b
Kas mesilaspere sügisene "kollaps" loetakse talvekahjude hulka?	jah	ei, sest mesilaspere ei läinud talvituma		b
Mis juhtub kui mesilaste talvekobar jõuab kärgede ülaservani, söödavaru on nendelt kärgedelt ära tarbitud ning madalad välistemperatuurid püsivad?	mesilased liiguvad pesa äärtes olevatele kärgedele kus leidub veel talvesööta	mesilased lendavad tarust välja ja hukkuvad	mesilased surevad nälga	c
Igas talvepesa kärjes peaks olema vähemalt..	1kg sööta	2kg sööta 3) 5 kg sööta		b
Ebamäärane, mitteühtlane sumin ja üksikute mesilaste pirinad annavad märku, et..	talvitumine on häiritud	talvitumine on normaalne		a
Talvituma võiks minna vähemalt..	4-5 raamil mesilaspere	6-7 raamil mesilaspere	12 raamil mesilaspere	b
Ajavahemikul september kuni mai 1. pool on mesilaste kõige suurem söödavajadus..	detsembris ja jaanuaris	septembris ja mai 1.poolel		b
Kas hiired on suutelised talvel läbi piiramata lennuava tungima tarru?	jah	ei		a
Kas nugised on suutelised läbi puidust või penoplastist taru närima?	ei	jah		b
Kas linnud võivad talvituvat mesilaspere kuidagi häirida?	ei	jah		b
Kumb ilm on mesilaste rahulikku talvitumist pigem soosiv?	ühtlaselt külm ja paksu lumega rahulik talv	talv kus temperatuur on vaheldumisi soe ja seejärel väga külm		a
Milline taru sisekliima on mesilaste talvitumisele halb?	külm	niiske		b
Kuidas oleks õige viis talvel kontrollida, kas mesilaspere on elus?	avada taru ja teha kiirläbivaatus	kuulata stetoskoobi või vooliku abil mesilaspere suminat		b
Mis on lihtsaim ja kiireim viis aidata külmal ajal mesilaspere kellel on oht näljale?	invertsiirup	kristalliseerunud meega kärg asetada laiupidi pesaruumi raamide peale	pudersööt ehk kandi	c
Millal oleks õige aeg tegeleda kasutatud raamide desinfitseerimisega, mittekõlbulike kärgede sulatamisega ning uute raamide ettevalmistusega (liistude kokkulöömine ja traatimine)?	sügisel-talvel	kevadel	suvel	a
Mis on vaha sulamistemperatuur?	50-55c	60-65c	58-63c	b
Vaha steriliseeritakse 120c 1,5 atmosfäärise rõhu all vähemalt 30min. Kas steriliseerimata vaha võib kanda edasi haigustekitajaid nagu nt. Ameerika haudmemädanik?	ei, vaha tavalisest sulatusest piisab	jah, võib küll	võib, aga hea tuttava mesiniku antud kärjed on ohutud	b
Kas vaha sulatamisel võib kasutada nõusid mis on emailist, roostevabast materjalist või alumiiniumist?	jah	ei		a
Mis juhtub kui vaha sulatada nõudes mis on valmistatud vasest, rauast, malmist või tsingist?	midagi ei juhtu, need materjalid sobivad kasutamiseks	vaha ei hangu enam ära	pikaajaliselt kuumutamisel värvub vaha teist värvi	c
Kas 100g tühjaks vurritatud kärge annab sulatamisel sama koguse vaha?	jah	ei		b
Vahasisaldus on kõrgem..	tumedates kärgedes	heledates kärgedes		b
Mis on vee emulsioon vahas?	kui sulatatavas kärjes on palju mett ja suira, siis need seovad vahas vee, mille tulemusena muutub vaha küll heledamaks ja raskemaks, kuid vähemkvaliteetseks	kui vaha töödeldakse kareda veega, tekib emulsioon mis sadestub vahaketta alumisele poolele, kuid mida saab eemaldada kraapides		a
Mis on vaha emulsioon vees?	kui sulatatavas kärjes on palju mett ja suira, siis need seovad vahas vee, mille tulemusena muutub vaha küll heledamaks ja raskemaks, kuid vähemkvaliteetseks	kui vaha töödeldakse kareda veega, tekib emulsioon mis sadestub vahaketta alumisele poolele, kuid mida saab eemaldada kraapides		b
Kuidas ja kas on võimalik vältida emulsioonide (vee emulsioon&vaha emulsioonteket vaha sulatamisel?	seda oskab ainult vahameister kellel on vastav atribuutika	sulatamisel kasutada pestud (või mesilaste puhastatud) vaha toormassi ning kareda vee asemel vihmavett		b
Kas kärjehoidla on pidulaud hiirele?	jah	ei		a
Kes võib suveperioodil kahjustada kärgesid?	pääsusaba	kõrvahark	vahaleedik	c
Kas väikeses mesilas saaks vaha sulatada marjaaurutajaga?	jah	ei		a
Mis juhtub kui vaha sulatamise protsessis lasta vahal minna keema?	vaha ei hangu enam ära st. on rikutud	vaha muudab värvi	vaha hakkab vahutama ja võib muutuda plahvatusohtlikuks	c
Kui väikeses mesilas puudub inventar, et seebikivilahuses kasutatud raame desinfitseerida, siis alternatiivseks desinfitseerimise võimaluseks on..	kareda svammi ja Fairyga pesemine	kraabitud raamide talvel külma kätte jätmine	kraabitud raamide põletamine leeklambiga	c
Desinfitseeriv efekt leeklambiga põletades tekib siis, kui..	suure leegiga väga kiiresti raamid või taru pesaruum üle käia	taru pesaruumi või raame kuumutada kuni puit värvub helepruuniks ja taruvaik ning vahajäägid lähevad keema	madala leegiga kuumutada senikaua kuni puidust pind hakkab kergelt söestuma	b
Kui tarus ja kärgedel on näha röövikuid, kookoneid, tihedat võrku ja käiguteid läbi kärgede, siis tõenäoliselt..	on tegu kärjeleediku vastsetega	on tegu varroa lestaga	on tegu haudmemädanikuga	a
Miks on pesaruumi puhastades oluline pühkida kõik taru nurgad ja praod vahast, langetisest jms sodist puhtaks?	nurkades olev põhjasodi on hea keskkond kuhu erinevad kahjurid munevad ja paljunevad	nurkades olev põhjasodi meelitab hiiri tungima tarru	nurkades olev põhjasodi on varroalestale meelepärane elukoht	a
Kes on see sõrataoliste jalgadega ämblikulaadne kes tarus toitub väikestest putukatest, kärjekoi noortest röövikutest ning lestadest kes elutsevad taru põhjalangetises?	harilik nahanäkk	raamatuskorpion	väike tarumardikas	b
Kuigi kõik tarru sattuvad kahjurid ei ole otseseks ohuks mesilasperele, siis nende kaudne oht on..	haiguste levitamine mesilasperede vahel	tarude oluline rikkumine	hiirte ja lindude meelitamine lennuava juurde	a
Herilaste toiduks mesilas on..	kaanetamata haue ning nektar	lennumesilased ja mesi	tarumesilased ja suir	b
Milline väide on õige?	peale mesilase kinni püüdmist surmab herilane ta nõelapiste või tugevate suistega ning söödab oma vaklu mesilase keha peeneks mälutud massiga	peale lennumesilase kinni püüdmist surmab herilane ta nõelapistega ning tarbib tema meepõide kogunenud nektarit	herilane surmab mesilase ainult selleks, et pääseda tarru ning tarbida sealset hauet	a
Kus ja kes herilastest talvitub?	talvitub terve pere, puu- või müüripragudes	talvituvad ainult paarunud emad, puu- või müüripragudes	talvitub ainult haue, maapinna sees või urus	b
Kas mesilastaru lähedal olev arukuklase (metsakuklasepesa võib tekitada mesilasperele probleeme?	jah, sipelgad võivad alustada mesilaspere ründamist	ei, sipelgad ei huvitu mesilasperedest	jah, mesilaspere võib alustada sipelgate pesakuhila ründamist	a
Eesti on üks sipelgarikkaim riik Euroopas. Mida tohib mesinik teha kui looduskaitse all olevad kuklased asuvad mesilasse elama ning hakkavad segama inimeste ja mesilaste elu?	mürgitada	pritsida veega	esitada keskkonnaametile taotlus kuklaste pesa ümberasustamiseks ning loa saades transportida pesa nt nummerdatud prügikottides (et pesa kihid oleks õiges jrk) uude kohta	c
Hall-kärbsenäpp, hallõgija ja punaselg-õgija on..	putuktoidulised rändlinnud kes suvel püüavad ka mesilasi	putuktoidulised linnud kes häirivad mesilaspere talverahu		a
Rasvatihane..	koputab igavusest mesilastarude katustele, kuid häirib sellega mesilaspere talvitumist	koputab mesilastaru eesseinale, et lennuavasse tulnud mesilasi ära süüa ning häirib sellega ka mesilaspere talvitumist		b
Kuidas kaitsta taru suur-kirjurähni, musträhni ning nugise "puurimise" eest?	viin tarud talveks sooja keldrisse	katan lennuava piirkonna kuuseokstega	katan tarud metallvõrgu/puuriga	c
Mis juhtub mesilastega keda talvitumisel pidevalt häiritakse?	kevadel sülemlevad esimesel võimalusel	hakkavad talvel tarust välja lendama ning hukkuvad külma käes	tarvitavad rohkem sööta mille tulemusel täitub nende pärasool liiga kiiresti mis omakorda võib viia tarru roojamiseni	c
Mis võib olla põhjuseks, miks talvel tarru pugenud hiir sealt enam lahkuda ei saa?	mesilased on ärrituse tulemusel lennuava kitsamaks kittinud	mesilased hoiavad hiirt nurgas lõksus	hiir on end paksuks söönud ja ei mahu enam lennuavast välja	c
Kas kärjehoidlas hiirte näritud kärge võiks uuesti mesilastele anda?	jah, võib, mesilased parandavad kõik ära	mesilased ei salli hiirte lõhna ja võivad seetõttu kärje asustamata jätta		b
Karu rüüstab mesilaid peamiselt..	suvel	talvel	kevadel või sügisel	c
Kevadel himustab karu mesilastarust..	süsivesikute rikast mett	valgurikast hauet		b
Sügisel himustab karu mesilastarust..	vaha	mett		b
Kui karu on korra mesilas käinud, siis..	hirmust inimeste vastu ta tavaliselt teist korda ei julge enam tulla	tavaliselt jätkab ta tarude ründamist		b
Miks on mesilasperel oluline leida kevadel vett?	neil on suur janu peale pikka talvitumist	nad tahavad lahustada kristalliseerunud talvesööta	alanud on haudmetegevus ning vett on vaja haudme toitmiseks	c
Millise ilmaga võiks kevadel pearevisjoni teha, et ei jahutaks pesaruumi liigselt maha ning ei koormaks mesilasi selle uuesti soojendamisega?	päikeseline ja vähemalt +5c	päikeseline ja vähemalt +10c	päikeseline ja +14-15c	c
Millal toimub mesilaste puhastuslend?	üldjuhul märtsi lõpus/aprilli alguses kui on päikesepaisteline ja tuulevaikne ning +10c	üldjuhul detsembri lõpus/jaanuari alguses kui on lumevaene talv	kui ilm on pikemat aega peamiselt jahe, siis juhtub see alles mai lõpus	a
Puhastuslend kestab umbes..	1-2 päeva	10 minutit	1 tund	c
Kui mesinik on puhastuslennu ajal mesilas, siis ta.. võiks puhastuslennu ajaks avada lennuavad täies ulatuses (hiljem uuesti kitsendada)	võiks puhastuslennu ajaks avada lennuavad täies ulatuses (hiljem uuesti kitsendadning jälgida mesilaste lennuaktiivsust	avada tarude katused, et mesilastel oleks vabam liikumine ning jälgida mesilaste lennuaktiivsust	viia pesu õue nöörile kuivama	a
Kas puhastuslennu ajal elus olev mesilaspere on kindlasti "õnnestunud talvitumisega" pere kes enam lähiajal ei hukku?	jah, sest pere saab peale puhastuslendu arenguhoo sisse	ei, sest perel võib olla mõni haigus (nt nosematoos, amöbiaas) mille tõttu ta veel mai alguseks hukkub		b
Kas puhastuslennu ajal roojaplekkidest määrdunud taru esisein, lennulaud ja taru sisemus peaks mesiniku valvsust tõstma?	ei, tegu on "maihaigusega" ning mesilased saavad sellega ise hakkama	jah ning puhastuslennule järgnevatel päevadel võiks teha mesilasperes kiirläbivaatuse		b
Mida teha kui avastan kevadel ühe hukkunud mesilaspere?	analüüsin kärgesid ja kõikvõimalikku visuaalset infot, et teha järeldusi ka mesiniku enda eksimuste osas	puhastan taru langetisest, hoian paremad kärjed alles ning kasutan suvel taru uue idupere jaoks	kutsun alati veterinaarametniku	a
Kas talvel/kevadel hukkunud mesilaspere kärgesid võib kasutada teiste perede kevadiseks laiendamiseks?	jah, enda mesilas võin	ei või ning taru peab ka enne uuesti kasutamist ära desinfitseerima, et vältida võimalike haiguste levikut		b
Mis on "kontrollkärg?" üldnimetus ükskõik millisele haudmeala sisaldavale kärjele mida mesinik läbivaatuse ajal kontrollib bkaanetamata haudmega (soovitatavalt munadega)	üldnimetus ükskõik millisele haudmeala sisaldavale kärjele mida mesinik läbivaatuse ajal kontrollib	kaanetamata haudmega (soovitatavalt munadega) kärg teisest perest mis antakse mesilasperre kus kahtlustatakse ema puudumist mille tulemusena mesilased ehitavad sinna aseemakuppe		b
Kas kontrollkärg toimib kui mesilasperes on juba küürakhaue ehk väärema?	jah	ei		b
Kas kontrollkärg toimub kui mesilasema on peres alles, kuid on kaotanud oma munemisvõime?	jah	ei		b
Kevadel on haudmega kärg määrdunud roojaplekkidega või sügisel on vaja välja koondada juba talvitunud kärg kus on veel veidi hauet. Kuhu ma paigutan selle kärje, et see lähiajal ära koondada?	pesaruumi keskele	pesaruumi äärde või vahelaua taha		b
Millal on vaja pesaruumi kitsendada?	idupere tehes	kui mesilasperel on liiga palju hauet ning liiga vähe süüa	kui osa kärjetänavaid on mesilaste vähesuse tõttu tühjad või on neid seal liiga vähe	c
Kui mesilasperel on vaja taru vahetada (uude tarru kolimine või kevadine puhastus), siis..	panen uue taru paika uude sobivasse kohta ning viin mesilased vanast tarust sinna raamide kaupa või kärjekandekastis	taru taha asetan taru aluse ja sinna tõstan perega taru; tühjaks jäänud alusele panen uue puhta taru ning sinna tõstan samas järjekorras juba puhtaks kaabitud ning kontrollitud kärjed		b
Kas lamavtaru kevadise desinfitseerimise ajaks peab mesilaspere tarust välja kolima?	jah peab	ei pea; taru puhastad poole kaupa vahelaua abil, sest mesilaspere raamide arv on veel väike		b
Mis vahendit peale leeklambi veel võib inventari desinfitseerimiseks kasutada?	taruvaigupiiritus	Virkon S 2% lahus	seebivesi pihustiga pudelis	b
Kuidas toimub korpustarude kevadine puhastus ning laiendamine?	puhastama ei pea midagi, korje saabudes tuleb hakata torni laduma	põhjad vahetatakse desinfitseeritud puhaste põhjade vastu ning talvitunud kärgedega korpus jäetakse suve lõpuni alla	põhjad vahetatakse desinfitseeritud puhaste põhjade vastu ning talvitunud kärgedega korpust laiendatakse ülespoole, et see hiljem meekärgedena ära koondada	c
Kevadisel puhastamisel konkspeitliga tarust kraabitud sodi ning langetise..	loobin taru kõrvale maha	panen põõsaste alla kompostiks	põletan ära	c
Mesilaspere kevadisel laiendamisel lähtun eelkõige..	enda soovist juhtida mesilaspere arengut	ilmast	pere arenguvõimest	c
Miks on kevadel esimesi mesilaspere laiendusi parem teha juba ülesehitatud kärgedega?	et oleks võimalik saada pajumett	et talvitunud mesilased saaks hoida rohkem energiat uuenemisperioodi läbi viimisele mitte kärje ehitamisele ning nii on ka mesilasemale munemisruum kohe olemas		b
Mis võib juhtuda kui raamide kärjetamisel on traat jäänud vahast välja, nähtavale?	mesilased ei taha sellist kärge üles ehitada	mesilasema ei pruugi muneda nendesse kärjekannudesse kus traat on nähtaval		b
Mesindust õppides on oluline..	küsida pidevalt milliseid võtteid ja tehnikaid teised mesinikud kasutavad ning neid jäljendada	olla kursis kuidas toimub mesindamine teistes riikides ja võtta sealt eeskuju	õppida selgeks mesilaspere bioloogia põhiteadmised ning tänu neile teadmistele osata taru juures suurt näha tervet pilti ning teha otsuseid mis sobivad just sinu mesilasperedele	c
Mida tähendab partenogenees?	viljastatud munarakkude arenemine (töölisemesilased)	viljastamata munarakkude arenemine ehk neitsisigimine (lesed)		b
Mida tähendab günandromorfism mesinduses?	munema hakanud töömesilased	ensüüm mis näitab mee bioloogilist aktiivsust	kui ühel isendil esinevad nii lese kui töömesilase tunnused (töömesilase suurus ja lese välimus; väliselt ülekaalus töömesilase tunnused koos üksikud elundid on nagu lesel jne) - võib tekkida kui muna arenemise perioodil on temp. normaalsest madalam	c
Kas mesilased oskavad eristada õisi?	ei, nad orienteeruvad ainult piirkondliku korjerikkuse järgi	jah, ning nad teevad seda väga täpselt - õite kroonlehtede arvu järgi		b
Tööliskannude ja lesekannude vahel on tühjad haudmeta kannud.	mesilasema munemisvõime on nõrgenemas	ülemineku - e. vahekannudesse paigutatakse ainult mett ja nektarit	mesilased on ehitanud praaki	b
Mis on "mesilaste tants?"	kui mõni mesilane on leidnud hea saagiallika, siis lööb ta tarus rõõmsalt uhkeldades tantsu	kui mõni mesilane on leidnud hea saagiallika, siis vibavtantsu või ringtantsu abil antakse asukoha info edasi ka teistele mesilastele	tants mida mesinik tantsib kui mesilased avastasid selle väikese jupi lahtijäetud mesindusülikonna lukku	b
Mida tähendab mesinduses "tarupeegel?"	tuleb ütlusest, et "mesilased on oma mesiniku peegel"	varre otsas peegel millega on võimalik raamide alla vaadata	lennuava ees maas olev plaat mille abil saab jälgida, mida mesilased tarust välja tassivad	c
Korpustarus asub mesilasema..	meekorpuses	pesakorpuses	emakorpuses	b
Farrari raami mõõt?	448x160mm	448x232mm	414x277mm	a
Langstrothi raami mõõt?	448x160mm	448x232mm	414x277mm	b
Mis on plastraam?	traaditud raam mille liistud on valmistatud plastikust	plastmassist raam ja kärjepõhi mis kaetakse õhukese vahakihiga		b
Mis on vaheliistu, hoffmani õla ning klotsi eesmärk?	lihtsalt visuaalne eripära	raamivahe/kärjetänava laiuse õige fikseerimine		b
Mida nimetatakse paarumistaruks?	paarumispere kus on kõrge lese populatsioon	väike spetsiaaltaru koos peotäie tarumesilastega mida kasutatakse ainult mesilasema paarumiseks		b
Näed laadal mesiniku müügiletti ning tal on laua kõrval läbipaistva klaasi ning luukidega kast kus on mesilased sees. Tahad näidata, et sa oled ka päris tark mees ja ütled naisele:	Näe, see on spetsiaalne kärjemee tootmise taru!	Näe, see on see austraallaste FlowHive!	Näe, vahva vaatlustaru!	c
Kas mahemesinduses tohib kasutada penotaru?	jah	ei		b
Oled avastanud, et üks mesilaspere on haige. Kas samade töövahenditega (konkspeitel, taruhari, kindad..teiste mesilasperede ülevaatuste jätkamine on kõrgendatud riskiga?	ei ole, sest haigustekitajad niimodi ei levi	on küll - enne jätkamist peaksin töövahendid desinfitseerima või võtma kasutusele eraldi töövahendid		b
Mis on tarulabidas?	hüüdnimetus leskedele, sest nad kühveldavad ainult mett süüa	väike käepärane kühvel millega on mugav taru põhjast prügi eemaldada		b
Kas mesilaspere tohib transportida ning sülemit hoiustada igasuguses kärjekandekastis?	jah, kõik kastid mis mahutavad 6 raami sobivad selleks	jah, kui kastil on olemas ventilatsiooni soodustavad või traatvõrguga kaetud avad		b
Mis on tarukäru?	taru millele on rattad alla monteeritud, et oleks lihtsam seda liigutada	väike kaherattaline käru tarude ja inventari transportimiseks mesilas		b
Kui raamil on traat muutunud veidi lõdvemaks, siis..	viskan raami ära	panen uue traadi	kõigepealt proovin kärjetraadi pingutajaga	c
Kas Titovi puur, emaandmispuur ja emasaatepuur sobivad kõik uue ema andmiseks mesilasperre?	jah	ei		a
Mis on emakasvatusraam?	see on emalahutusvõrega külgedelt kaetud kast kuhu pannakse kärg ja mesilasema, et ta kindlasti uusi mesilasemasid toodaks	see on kolme liistuga raam millele on kinnitatud emakupu algmed kuhu asetatakse vageldamise teel töömesilase vaglad, eesmärgiga kasvatada mesilasemasid		b
See on plekist, traadist või plastmassist võre milles on 4,5cm laiused avad mis tagavad töömesilaste läbipääsu ja kasutatakse mesilasema isoleerimiseks.	kärjeisolaator	emalahutusvõre	kupumoor	b
Millist kasulikku infot võiks meile anda kontrolltaru kaal?	kui palju mesilasi on tarus	kui kiiresti ja palju koguneb peakorje ajal nektarit ning millisel kiirusel väheneb talvesööt		b
Kas kärgesid on võimalik sulatada päikese abil?	ei ole	on võimalik, kasutades päikese vahasulatajat		b
Vaha sulatusjäätmeid nimetatakse..	vahamets	vahaniit	vaharaba	c
Kas vanaema kruviga mahlapressi võiks kasutada kanarbikumee pressimiseks?	jah	ei		a
Milleks kasutatakse kärjekahvlit?	kärjemee mugavaks söömiseks	kärgede mugavaks tõstmiseks taru juures	meekärgedelt kaanetise eemaldamiseks	c
Miks võiks mesilasse u 3-4 aasta tagant tuua uusi mesilasemasid?	et mesilasemade aretajate tööd toetada	et vältida mesilas veresugulust mille tagajärel järeltulevad põlvkonnad nõrgenevad		b
Kas Buckfast on mesilastõug või rass?	rass	tõug		b
Kas krainid ja itaallased on mesilase rassid või tõud?	rassid	tõud		a
Euroopa meemesilane on..	apis mellifera scutellata	apis cerana	apis mellifera mellifera	c
Kas "lendpere" on tõhus meetod sülemlemise meeleolu taltsutamiseks?	jah	ei		a
Kas idu- ehk võrsikpere on tõhus meetod sülemlemise meeleolu taltsutamiseks?	jah	ei		b
Kas nõrga ventilatsiooni ja kuumade ilmade tõttu võib vaha plastilisus väheneda ning mesi hakata kannudest välja voolama, olles ka ohuks mesilasperele?	see ei ole võimalik	see on võimalik		b
Kas 2020a seisuga on Eesti mesinduses leitud väikest tarumardikat?	jah	ei		b
Kui ma ei suuda tuvastada mesilaspere haigust, kas ma saan saata proovi veterinaarlaborisse?	eestis seda võimalust veel ei ole	saab - prooviks sobib tikutopsitäis mesilasi, haudmehaiguste korral 10x10cm hauet ning haudmemädanikku saab tuvastada ka mee kaudu		b
Millal on pesaruumi soojustamine olulisem?	talvel, et mesilased ei külmetaks	kevadel kui ilmad on veel jahedad, aga mesilasperes toimub haudmetegevus		b
Millisel juhul tohib öelda, et tegu on monofloorse meega?	sisaldab 100% ühe taime õietolmuteri	sisaldab vähemalt 70% ühe taime õietolmuteri	sisaldab vähemalt 50% ühe taime õietolmuteri	c
Mee päritolu määratakse..	laboris, nektari päritolu järgi	õietolmuterade päritolu järgi	mesinik oletab ise kus ta mesilased korjel käivad	b
Kristalliseerunud mett tohib sulatada kuni..	20c	40c	60c	b
Kas aknalaud otsese päikesevalguse käes on hea koht kus oma meepurki hoida?	jah	ei		b
Kas mesi on happeline?	jah, mee happesus on 3,5-4,5	ei, mee happesus on 3,5-4,5		a
Kas naturaalsel meel võib olla ka mõrkjas, hapukas või kibe maitse?	jah	ei		a
Mesi koosneb liht- ja liitsuhkrutest, glükoosist ja fruktoosis, mineraalainetest, fermentidest vitamiinidest, veest ja õietolmust.	vale	õige		b
Kui alla 2 aastase mee HMF (hüdroksümetüülfurfuraalnäitaja on üle 40, siis..	tegu on kvaliteetse meega	tõenäoliselt on mett kuumutatud lubatust kõrgemal temperatuuril või liiga pikalt		b
Kas mett mida on kõrgel kuumusel (üle +40ckuumutatud, võib mesilastele tagasi sööta?	jah, võib	ei või, sest tekkinud HMF keemiline ühend on mesilastele mürgine		b
Mida näitab mee diastaas?	mee bioloogilist aktiivsust	mineraalide sisaldust mees	näitab sahharoosi lihtsuhkruteks lagundava ensüümi aktiivsust	a
Mida näitab mee niiskusesisaldus?	näitab mee küpsust. Küpse Eesti mee niiskusesisaldus on reeglina 16 - 18% vahel. Üle 20% niiskusesisaldusega mee korral on kõrgem oht riknemiseks	näitab mee küpsust. Küpse Eesti mee niiskusesisaldus on reeglina 15-16% vahel. Üle 16% niiskusesisaldusega mee korral on kõrgem oht riknemiseks		a
Kui vahale lisatakse parafiine, steariini või teisi sünteetilisi aineid, siis..	tegu on tavalise praktikaga kompenseerimaks vahapuudust ning mesilasperesid see ei mõjuta	tegu on vaha võltsimisega ning sellisest vahast saab halvema kvaliteediga kärjepõhjad mis võivad tarus kokku vajuda või ei ehita mesilased nendele kärge		b
Kas liigne suitsiku kasutamine meekärgede tarust välja võtmisel võib rikkuda mee maitse?	ei, mesi on kaanetatud ja kaitstud suitsu eest	jah, meele võib jääda tugev suitsune mekk ja lõhn		b
Kreemja mee valmistamisel on oluline mee järelkuivamine, sest mee segamisel tõuseb niiskus ülemistesse kihtidesse. Kui seda ei tee, siis..	mesi muutub kivikõvaks	mesi kihistub	mesi läheb käärima	c
Kas või mis võib juhtuda kui pakendada kokku eri aegadel vurritatud mesi ilma, et neid omavahel ei segatud?	ei juhtu midagi	meepurki võivad tekkida erisugused kihid; halvemal korral võib mesi minna ka käärima		b
Mis on mee erikaal?	1 liiter = 1kg mett	1 liiter = 0,7kg mett	1 liiter = 1,4kg mett	c
Meevurri ja meesõela kasutades on Põllumajandusministri määruse nr 104 järgi tegu..	nõrutatud meega	filtreeritud meega	vurrimeega	c
Kas kasutatud klaasist supipurk sobib mee pakendamiseks?	ei sobi	kui purk on väga hoolikalt pestud ja steriliseeritud nii, et pakend on täiesti lõhnavaba, siis tohib koos täiesti uue purgikaanega		b
Äsja vurritatud mee värvus on intensiivne ja ergas. Kas see säilitab purgis sama värvi ka mõne kuu pärast?	jah	ei		b
Kristalliseerunud mesi on..	mee olek mis annab märku juba langevast toiteväärtusest ja kvaliteedist	meie looduskeskkonnast kogutud naturaalse mee loomulik olek		b
Kui meepurgis on näha tekkimas valgeid laike, siis..	on see mee sisse lisatud suhkur	on need glükoosikristallid		b
Põllumajandusministri määrus sätestab mee niiskuse ülempiiriks 20%, kuid vaikimisi eelistavad Eesti mesinikud ideaalis selleks numbriks mitte rohkem kui..	15%	18%	21%	b
Kas vedelat mett tohib õhukindlalt säilitada sügavkülmas?	ei tohi, mesi läheb käärima	tohib küll, üles sulades saab jälle vedelat mett nautida ilma kvaliteeti kaotamata		b
Mee "parim enne" on ... aastat alates mee vurritamise päevast.	1	2	5	b
Kas "parim enne" kuupäeva möödudes on mesi söögikõlblik?	pigem mitte	on küll, lihtsalt mee bioloogiline aktiivsus on vähenenud		b
Paljud mesinikud lasevad peale füüsikalise-keemiliste näitajate uurida ka mee õietolmu koostist. Miks on seda kasulik teada?	saab teada, kas tegu on lehemeega	saab teada, kas mesi sisaldab pestitsiide	saab teada, kuhu mesilane eelistab lennata, mida korjata ning jagada seda infot ka meetarbijale	c
Johannes Mehring leiutas 1857. aastal..	esimese meevurri	kärjepõhja valmistamise tehnoloogia	liigutavate raamidega mesilastaru	b
Kui mesilaspere sülemles 1.06 ja samal päeval koorus sülemikupust uus mesilasema, siis uusi mune on mesilasperes oodata..	5-10 pluss 3-5 päeva pärast = ajavahemikul 9.06 kuni 16.06	5 päeva pärast ehk 6.06		a
Kas jaanipäeval toimuva meevõtu ajal on mesilased samasuguse käitumisega nagu sügisel viimase meevõtu ajal kui korje on lõppenud?	jah, mesilased on kurjad ja mee lõhn ajab õhkkonna ärevaks terveks päevaks	ei, suvel kui korje on olemas, pööravad mesilased naabertarude meelõhnale vähem tähelepanu		b
Varroalest jõudis Eestisse..	1978 aastal, Kirde-Eestis	1990 aastal, Kirde-Eestis	1955 aastal, Kirde-Eestis	a
Lesehaudme lõikamise eesmärk on..	varroalesta vastu võitlemine	leskede populatsiooni kontrolli all hoidmine		a
